from_stop_id,to_stop_id,dist,from_route_id,to_route_id,schedule_precedence
164144,164489,0.38,,,
164489,164144,0.38,,,
164144,164495,0.27,,,
164495,164144,0.27,,,
164505,164144,0.12,,,
164144,164533,0.29,,,
164533,164144,0.29,,,
164144,164550,0.4,,,
164550,164144,0.4,,,
164815,164144,0.24,,,
164144,164896,0.28,,,
164896,164144,0.28,,,
164144,165176,0.42,,,
165176,164144,0.42,,,
164144,164846,0.41,,,
164846,164144,0.41,,,
164144,186152,0.26,,,
186152,164144,0.26,,,
164144,163215,0.36,,,
163215,164144,0.36,,,
164144,163692,0.49,,,
163692,164144,0.49,,,
164144,163788,0.14,,,
163788,164144,0.14,,,
164144,163821,0.23,,,
163821,164144,0.23,,,
64725,65588,0.37,,,
65427,65588,0.22,,,
131558,131389,0.46,,,
131584,131389,0.09,,,
65865,66460,0.2,,,
66460,65865,0.2,,,
66617,65865,0.25,,,
65865,66625,0.28,,,
66625,65865,0.28,,,
65865,66635,0.35,,,
66635,65865,0.35,,,
65865,66971,0.45,,,
66971,65865,0.45,,,
65865,67326,0.49,,,
98635,99272,0.48,,,
99272,98635,0.48,,,
98635,99282,0.32,,,
99282,98635,0.32,,,
99302,98635,0.24,,,
98635,99316,0.26,,,
99316,98635,0.26,,,
65870,65969,0.5,,,
65969,65870,0.5,,,
65870,66303,0.41,,,
66303,65870,0.41,,,
65870,66305,0.35,,,
66305,65870,0.35,,,
65870,66311,0.25,,,
66311,65870,0.25,,,
65870,66315,0.22,,,
66315,65870,0.22,,,
66324,65870,0.15,,,
65870,66346,0.29,,,
66346,65870,0.29,,,
65870,66358,0.4,,,
66358,65870,0.4,,,
64561,65870,0.48,,,
65870,64803,0.4,,,
64803,65870,0.4,,,
65870,65068,0.38,,,
65068,65870,0.38,,,
131414,131616,0.35,,,
131616,131414,0.35,,,
131414,199215,0.39,,,
199215,131414,0.39,,,
131414,199222,0.29,,,
199222,131414,0.29,,,
131414,199347,0.46,,,
199347,131414,0.46,,,
131414,199398,0.3,,,
199398,131414,0.3,,,
131414,199216,0.35,,,
199216,131414,0.35,,,
131414,130919,0.29,,,
130919,131414,0.29,,,
98658,98956,0.24,,,
98956,98658,0.24,,,
98658,99425,0.34,,,
99425,98658,0.34,,,
98658,97492,0.44,,,
97492,98658,0.44,,,
98658,97916,0.34,,,
97916,98658,0.34,,,
98661,98831,0.3,,,
98831,98661,0.3,,,
98661,98956,0.47,,,
98956,98661,0.47,,,
98661,99140,0.21,,,
98661,99287,0.46,,,
99287,98661,0.46,,,
98661,99332,0.29,,,
99472,98661,0.33,,,
98661,99521,0.31,,,
99521,98661,0.31,,,
98661,99630,0.33,,,
99630,98661,0.33,,,
98661,99737,0.42,,,
99737,98661,0.42,,,
98661,99869,0.43,,,
99869,98661,0.43,,,
98661,97461,0.5,,,
97461,98661,0.5,,,
98661,97973,0.38,,,
97973,98661,0.38,,,
147599,147516,0.23,,,
147723,147516,0.18,,,
147516,148212,0.28,,,
148212,147516,0.28,,,
147516,146599,0.48,,,
146599,147516,0.48,,,
147516,146890,0.26,,,
146890,147516,0.26,,,
147516,147114,0.22,,,
147114,147516,0.22,,,
147277,147516,0.3,,,
147516,147354,0.36,,,
147354,147516,0.36,,,
147698,147516,0.42,,,
147516,147724,0.45,,,
147724,147516,0.45,,,
147516,147805,0.4,,,
147805,147516,0.4,,,
147516,147935,0.17,,,
147935,147516,0.17,,,
147516,148058,0.28,,,
148058,147516,0.28,,,
147516,148157,0.28,,,
148157,147516,0.28,,,
147516,148571,0.45,,,
148571,147516,0.45,,,
147516,148612,0.43,,,
148612,147516,0.43,,,
147516,148651,0.44,,,
148651,147516,0.44,,,
147516,147263,0.42,,,
147263,147516,0.42,,,
65907,64886,0.45,,,
64886,65907,0.45,,,
65599,66303,0.45,,,
66303,65599,0.45,,,
65599,66305,0.4,,,
66305,65599,0.4,,,
65599,66311,0.32,,,
66311,65599,0.32,,,
65599,66315,0.29,,,
66315,65599,0.29,,,
66324,65599,0.25,,,
65599,66346,0.35,,,
66346,65599,0.35,,,
65599,66358,0.45,,,
66358,65599,0.45,,,
65599,64338,0.49,,,
64338,65599,0.49,,,
64561,65599,0.38,,,
65599,64803,0.31,,,
64803,65599,0.31,,,
65599,65068,0.31,,,
65068,65599,0.31,,,
65923,66507,0.32,,,
66507,65923,0.32,,,
65923,67193,0.5,,,
67193,65923,0.5,,,
65923,67240,0.46,,,
65923,64913,0.45,,,
64913,65923,0.45,,,
65923,65049,0.41,,,
65049,65923,0.41,,,
65923,65355,0.42,,,
65355,65923,0.42,,,
131467,132466,0.42,,,
131467,130422,0.38,,,
131467,130745,0.42,,,
131467,130814,0.23,,,
131467,130815,0.23,,,
98705,98822,0.26,,,
98822,98705,0.26,,,
98705,98882,0.26,,,
98882,98705,0.26,,,
98705,99175,0.31,,,
99175,98705,0.31,,,
98705,99223,0.31,,,
99223,98705,0.31,,,
98705,99572,0.4,,,
99572,98705,0.4,,,
98705,100027,0.5,,,
100027,98705,0.5,,,
98705,100037,0.47,,,
100037,98705,0.47,,,
98705,100057,0.44,,,
100057,98705,0.44,,,
98705,100080,0.44,,,
100080,98705,0.44,,,
98705,100095,0.45,,,
100095,98705,0.45,,,
98705,97727,0.41,,,
97727,98705,0.41,,,
98705,98139,0.32,,,
98139,98705,0.32,,,
98705,98193,0.32,,,
98193,98705,0.32,,,
98708,98890,0.43,,,
98890,98708,0.43,,,
54681,199507,0.48,,,
199507,54681,0.48,,,
53583,54681,0.47,,,
54681,53604,0.5,,,
53604,54681,0.5,,,
54681,53824,0.44,,,
53824,54681,0.44,,,
54681,53922,0.28,,,
53922,54681,0.28,,,
53947,54681,0.3,,,
54681,53966,0.33,,,
53966,54681,0.33,,,
54681,54064,0.23,,,
54064,54681,0.23,,,
54681,54132,0.21,,,
54132,54681,0.21,,,
54681,54136,0.47,,,
54136,54681,0.47,,,
54681,54266,0.49,,,
54266,54681,0.49,,,
53628,54681,0.44,,,
65950,65969,0.25,,,
65969,65950,0.25,,,
65950,66311,0.47,,,
66311,65950,0.47,,,
65950,66315,0.42,,,
66315,65950,0.42,,,
66324,65950,0.28,,,
65950,66346,0.13,,,
66346,65950,0.13,,,
65950,66358,0.18,,,
66358,65950,0.18,,,
65950,66375,0.28,,,
66375,65950,0.28,,,
65950,66381,0.4,,,
66381,65950,0.4,,,
65950,67118,0.46,,,
67118,65950,0.46,,,
131487,131503,0.22,,,
131502,131503,0.03,,,
131527,131503,0.38,,,
131533,131503,0.47,,,
98736,98816,0.05,,,
98816,98736,0.05,,,
98736,99801,0.37,,,
99801,98736,0.37,,,
98736,97442,0.48,,,
97442,98736,0.48,,,
65969,66346,0.28,,,
66346,65969,0.28,,,
65969,66358,0.18,,,
66358,65969,0.18,,,
66375,65969,0.13,,,
65969,66381,0.18,,,
66381,65969,0.18,,,
65969,66388,0.28,,,
66388,65969,0.28,,,
65969,66397,0.4,,,
66397,65969,0.4,,,
65969,67118,0.38,,,
98878,98740,0.23,,,
131527,131545,0.32,,,
65997,66374,0.23,,,
66374,65997,0.23,,,
66950,65997,0.33,,,
65997,67284,0.48,,,
65997,67296,0.45,,,
67296,65997,0.45,,,
65109,65997,0.34,,,
65362,65997,0.26,,,
103843,103471,0.4,,,
103471,103843,0.4,,,
104440,103843,0.2,,,
103843,104525,0.24,,,
104525,103843,0.24,,,
103843,104527,0.24,,,
104527,103843,0.24,,,
105011,103843,0.41,,,
92921,91853,0.33,,,
91853,92921,0.33,,,
92921,91894,0.25,,,
92921,91942,0.35,,,
92921,92742,0.48,,,
92742,92921,0.48,,,
92748,92921,0.15,,,
92921,92961,0.25,,,
93180,92921,0.47,,,
131533,131545,0.23,,,
131549,130841,0.25,,,
66014,66460,0.15,,,
66460,66014,0.15,,,
66617,66014,0.2,,,
66014,66625,0.23,,,
66625,66014,0.23,,,
66014,66635,0.32,,,
66635,66014,0.32,,,
66014,66971,0.41,,,
66971,66014,0.41,,,
66014,67326,0.44,,,
65427,66021,0.33,,,
131558,130841,0.42,,,
185767,198829,0.37,,,
198829,185767,0.37,,,
185767,198830,0.31,,,
198830,185767,0.31,,,
185767,198969,0.48,,,
198969,185767,0.48,,,
198970,185767,0.42,,,
185767,198971,0.39,,,
198971,185767,0.39,,,
185767,198973,0.33,,,
198973,185767,0.33,,,
185767,199031,0.5,,,
199031,185767,0.5,,,
185767,199037,0.28,,,
199037,185767,0.28,,,
199038,185767,0.25,,,
185767,199458,0.18,,,
199458,185767,0.18,,,
185767,199495,0.13,,,
199495,185767,0.13,,,
185767,199612,0.0,,,
199612,185767,0.0,,,
185767,199610,0.18,,,
199610,185767,0.18,,,
185767,183608,0.1,,,
183608,185767,0.1,,,
185767,183609,0.1,,,
183609,185767,0.1,,,
185767,85912,0.49,,,
85912,185767,0.49,,,
185767,85948,0.5,,,
85948,185767,0.5,,,
185767,86013,0.46,,,
86013,185767,0.46,,,
185767,86046,0.49,,,
86046,185767,0.49,,,
185767,86093,0.44,,,
86093,185767,0.44,,,
185767,86124,0.48,,,
86124,185767,0.48,,,
185767,184447,0.48,,,
184447,185767,0.48,,,
185767,86157,0.45,,,
86157,185767,0.45,,,
185767,86171,0.43,,,
86171,185767,0.43,,,
185767,86204,0.49,,,
86204,185767,0.49,,,
185767,86225,0.39,,,
86225,185767,0.39,,,
185767,86266,0.42,,,
86266,185767,0.42,,,
185767,86285,0.36,,,
86285,185767,0.36,,,
185767,86298,0.5,,,
86298,185767,0.5,,,
185767,86311,0.37,,,
86311,185767,0.37,,,
185767,86349,0.43,,,
86349,185767,0.43,,,
185767,86438,0.31,,,
86438,185767,0.31,,,
185767,86466,0.31,,,
86466,185767,0.31,,,
185767,86532,0.28,,,
86532,185767,0.28,,,
185767,86547,0.49,,,
86547,185767,0.49,,,
185767,86562,0.46,,,
86562,185767,0.46,,,
185767,86583,0.27,,,
86583,185767,0.27,,,
185767,86603,0.47,,,
86603,185767,0.47,,,
185767,86614,0.26,,,
86614,185767,0.26,,,
185767,86616,0.26,,,
86616,185767,0.26,,,
185767,86631,0.49,,,
86631,185767,0.49,,,
185767,86659,0.31,,,
86659,185767,0.31,,,
185767,86736,0.23,,,
86736,185767,0.23,,,
185767,86768,0.2,,,
86768,185767,0.2,,,
185767,86807,0.3,,,
86807,185767,0.3,,,
185767,86809,0.27,,,
86809,185767,0.27,,,
185767,86810,0.26,,,
86810,185767,0.26,,,
185767,86823,0.18,,,
86823,185767,0.18,,,
185767,86826,0.18,,,
86826,185767,0.18,,,
185767,86828,0.43,,,
86828,185767,0.43,,,
185767,86829,0.2,,,
86829,185767,0.2,,,
185767,86831,0.24,,,
86831,185767,0.24,,,
185767,86843,0.38,,,
86843,185767,0.38,,,
185767,87001,0.13,,,
87001,185767,0.13,,,
185767,87006,0.12,,,
87006,185767,0.12,,,
185767,87150,0.21,,,
87150,185767,0.21,,,
185767,87157,0.1,,,
87157,185767,0.1,,,
185767,87169,0.11,,,
87169,185767,0.11,,,
185767,87170,0.06,,,
87170,185767,0.06,,,
185767,87329,0.21,,,
87329,185767,0.21,,,
185767,87333,0.15,,,
87333,185767,0.15,,,
185767,87335,0.08,,,
87335,185767,0.08,,,
185767,87342,0.04,,,
87342,185767,0.04,,,
185767,87346,0.1,,,
87346,185767,0.1,,,
185767,87350,0.22,,,
87350,185767,0.22,,,
185767,87359,0.34,,,
87359,185767,0.34,,,
185767,87464,0.05,,,
87464,185767,0.05,,,
185767,185802,0.48,,,
185802,185767,0.48,,,
185767,87638,0.15,,,
87638,185767,0.15,,,
185767,87930,0.28,,,
87930,185767,0.28,,,
185767,87932,0.25,,,
