fare_id,route_id,origin_id,destination_id,contains_id
METRO_1Z,1_1935,3,3,
METRO_1Z,1_1941,4,4,
METRO_2Z,1_1941,3,4,
METRO_1Z,1_1941,3,3,
METRO_1Z,1_1982,4,4,
METRO_2Z,1_1982,3,4,
METRO_1Z,1_1982,3,3,
METRO_1Z,1_1986,4,4,
METRO_2Z,1_1986,3,4,
METRO_1Z,1_1986,3,3,
METRO_1Z,1_1987,4,4,
METRO_1Z,1_1988,4,4,
METRO_1Z,1_1989,4,4,
METRO_2Z,1_1989,3,4,
METRO_1Z,1_1989,3,3,
METRO_1Z,1_1994,4,4,
METRO_1Z,1_1995,4,4,
METRO_1Z,1_1995,3,3,
METRO_2Z,1_1995,4,3,
CT_LOCAL,1_3880,3,3,
CT_COMMUTER,1_3880,4,4,
CT_LOCAL,1_3880,2,3,
CT_LOCAL,1_3880,2,2,
CT_COMMUTER,1_3880,3,4,
CT_COMMUTER,1_3880,2,4,
CT_LOCAL,1_3871,3,3,
CT_COMMUTER,1_3871,4,4,
CT_LOCAL,1_3871,2,3,
CT_LOCAL,1_3871,2,2,
CT_COMMUTER,1_3871,3,4,
CT_COMMUTER,1_3871,2,4,
CT_LOCAL,1_3870,3,2,
CT_LOCAL,1_3870,3,3,
CT_COMMUTER,1_3870,4,4,
CT_LOCAL,1_3870,2,3,
CT_LOCAL,1_3870,2,2,
CT_COMMUTER,1_3870,3,4,
CT_COMMUTER,1_3870,2,4,
CT_LOCAL,1_3860,3,3,
CT_COMMUTER,1_3860,4,4,
CT_LOCAL,1_3860,2,3,
CT_LOCAL,1_3860,2,2,
CT_COMMUTER,1_3860,3,4,
CT_COMMUTER,1_3860,2,4,
CT_LOCAL,1_3855,3,3,
CT_COMMUTER,1_3855,4,4,
CT_LOCAL,1_3855,2,3,
CT_LOCAL,1_3855,2,2,
CT_COMMUTER,1_3855,3,4,
CT_COMMUTER,1_3855,2,4,
CT_LOCAL,1_3851,3,3,
CT_COMMUTER,1_3851,4,4,
CT_LOCAL,1_3851,2,3,
CT_LOCAL,1_3851,2,2,
CT_COMMUTER,1_3851,3,4,
CT_COMMUTER,1_3851,2,4,
CT_LOCAL,1_3821,1,3,
CT_LOCAL,1_3821,3,3,
CT_COMMUTER,1_3821,4,4,
CT_NE_COMMUTER,1_3821,1,4,
CT_COMMUTER,1_3821,3,4,
CT_LOCAL,1_3821,1,1,
CT_LOCAL,1_3812,3,3,
CT_COMMUTER,1_3812,4,4,
CT_LOCAL,1_3812,2,3,
CT_LOCAL,1_3812,2,2,
CT_COMMUTER,1_3812,3,4,
CT_COMMUTER,1_3812,2,4,
CT_LOCAL,1_3701,3,2,
CT_LOCAL,1_3701,3,3,
CT_LOCAL,1_3701,2,2,
CT_LOCAL,1_3701,2,3,
ST_EXPRESS_2Z,1_6535,3,2,
ST_EXPRESS_1Z,1_6535,3,3,
ST_EXPRESS_1Z,1_6535,2,2,
ST_EXPRESS_2Z,1_6535,2,3,
ST_EXPRESS_2Z,1_6532,3,2,
ST_EXPRESS_1Z,1_6532,3,3,
