from_stop_id,to_stop_id,transfer_type,min_transfer_time
86603,185767,0,
185767,86614,0,
86614,185767,0,
185767,86616,0,
86616,185767,0,
185767,86631,0,
86631,185767,0,
185767,86659,0,
86659,185767,0,
185767,86736,0,
86736,185767,0,
185767,86768,0,
86768,185767,0,
185767,86807,0,
86807,185767,0,
185767,86809,0,
86809,185767,0,
185767,86810,0,
86810,185767,0,
185767,86823,0,
86823,185767,0,
185767,86826,0,
86826,185767,0,
185767,86828,0,
86828,185767,0,
185767,86829,0,
86829,185767,0,
185767,86831,0,
86831,185767,0,
185767,86843,0,
86843,185767,0,
185767,87001,0,
87001,185767,0,
185767,87006,0,
87006,185767,0,
185767,87150,0,
87150,185767,0,
185767,87157,0,
87157,185767,0,
185767,87169,0,
87169,185767,0,
185767,87170,0,
87170,185767,0,
185767,87329,0,
87329,185767,0,
185767,87333,0,
87333,185767,0,
185767,87335,0,
87335,185767,0,
185767,87342,0,
87342,185767,0,
185767,87346,0,
87346,185767,0,
185767,87350,0,
87350,185767,0,
185767,87359,0,
87359,185767,0,
185767,87464,0,
87464,185767,0,
185767,185802,0,
185802,185767,0,
185767,87638,0,
87638,185767,0,
185767,87930,0,
87930,185767,0,
185767,87932,0,
87932,185767,0,
185767,87934,0,
87934,185767,0,
185767,88544,0,
88544,185767,0,
185767,86208,0,
86208,185767,0,
185767,86511,0,
86511,185767,0,
185767,86848,0,
86848,185767,0,
185767,87140,0,
87140,185767,0,
185767,87159,0,
87159,185767,0,
131583,130369,0,
130369,131583,0,
98822,99943,0,
99943,98822,0,
100027,98822,0,
98822,100037,0,
98822,100057,0,
98822,100080,0,
98822,100280,0,
98822,100474,0,
98822,99126,0,
99126,98822,0,
97727,98822,0,
98822,97769,0,
97769,98822,0,
98822,98103,0,
98103,98822,0,
98831,99027,0,
99027,98831,0,
98831,99140,0,
99140,98831,0,
99287,98831,0,
98831,99332,0,
99332,98831,0,
99472,98831,0,
99521,98831,0,
99630,98831,0,
99737,98831,0,
98831,99763,0,
99763,98831,0,
99869,98831,0,
98833,98890,0,
98833,99454,0,
98833,99459,0,
98833,99469,0,
98833,99534,0,
98833,99556,0,
98833,98116,0,
33299,33555,0,
33299,33913,0,
33299,34281,0,
33299,33655,0,
33299,32675,0,
33299,32694,0,
131616,131692,0,
131692,131616,0,
131616,199215,0,
199215,131616,0,
131616,199222,0,
199222,131616,0,
131616,199347,0,
199347,131616,0,
131616,199398,0,
199398,131616,0,
131616,199216,0,
199216,131616,0,
66100,66507,0,
66507,66100,0,
66100,67193,0,
67193,66100,0,
66100,67240,0,
66100,67246,0,
