route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1_1301,PSRC,MK301,301 RICH BCH-SCBD SB,,3
1_1303,PSRC,MK303,303 AUR VL-1ST HL S*,,3
1_1304,PSRC,MK304,304 RICH BCH-SCBD S*,,3
1_1306,PSRC,MK306,306 KENMOR-SEACBD S*,,3
1_1308,PSRC,MK308,308 LKFOR PK-SCBD S*,,3
1_1311,PSRC,MK311,311 DUV-WDNV-SCBD WB,,3
1_1312,PSRC,MK312,MK312a,,3
1_1316,PSRC,MK316,316 MERIDIAN-SCBD S*,,3
1_1330,PSRC,MK330,330 SHRL CC-LKCTY NB,,3
1_1331,PSRC,MK331,331 KENMOR-SHR CC WB,,3
1_1342,PSRC,MK342,342 SHRL-BELV-RNT S*,,3
1_1345,PSRC,MK345,345 SHRL CC-NGATE SB,,3
1_1346,PSRC,MK346,346 AUR VIL-NGATE SB,,3
1_1347,PSRC,MK347,347 MTLK TER-NGTE SB,,3
1_1348,PSRC,MK348,348 RICH BCH-NGTE SB,,3
1_1355,PSRC,MK355,355 SHRLN CC-SCBD S*,,3
1_1358,PSRC,MK358,358 AUR VL-SEACBD SB,,3
1_1372,PSRC,MK372,372 WDNVL-BTHL-UW SB,,3
1_1373,PSRC,MK373,373 AURVL-15TH-UW SB,,3
1_1600,PSRC,MK600,600 SCBD-GR HLT RVR*,,3
1_1661,PSRC,MK661,661 ROYAL BROUGH-6A*,,3
1_1885,PSRC,MK885,885 BELLEVUE TC-WIL*,,3
1_1886,PSRC,MK886,886 School,,3
1_1888,PSRC,MK888,888 Egate P&R to In*,,3
1_1889,PSRC,MK889,889 HOUGHTON-INTNL *,,3
1_1890,PSRC,MK890,890 LAKEMONT BLVD-I*,,3
1_1891,PSRC,MK891,891 Mercer I-MIHS**,,3
1_1892,PSRC,MK892,892 MI-MIHS**,,3
1_1901,PSRC,MK901,901 MIR LK-FED TC W*,,3
1_1903,PSRC,MK903,903 TWN LK-FED TC WB,,3
1_1908,PSRC,MK908,908 RNT-RNT HLNDS EB,,3
1_1909,PSRC,MK909,909 KENNYDL-RENTN SB,,3
1_1913,PSRC,MK913,913DART Kent Statio*,,3
1_1915,PSRC,MK915,915 AUBRN-ENUMCLW NB,,3
1_1917,PSRC,MK917,917 AUBR-ALGN-PAC SB,,3
1_1918,PSRC,MK918,918 KENT-NO KENT NB,,3
1_1919,PSRC,MK919,919DARTSE Auburn to*,,3
1_1921,PSRC,MK921,921 BELV-SOMERSET SB,,3
1_1926,PSRC,MK926,926 CROSSRDS-EGTE SB,,3
1_1927,PSRC,MK927,927 SAMMISH-ISSQH SB,,3
1_1929,PSRC,MK929,929 N BND-FLL CTY SB,,3
1_1935,PSRC,MK935,935 KENMR-KINGSGT SB,,3
1_1941,PSRC,MK941,941 STR LK-1ST HL N*,,3
1_1982,PSRC,MK982,982 Bear Creek P&R *,,3
1_1986,PSRC,MK986,986 Houghton P&R to*,,3
1_1987,PSRC,MK987,987 Lakeside to Rai*,,3
1_1988,PSRC,MK988,988 LAKESIDE SCHL-3*,,3
1_1989,PSRC,MK989,989 Issaquah TC to *,,3
1_1994,PSRC,MK994,994CBDSeattle to La*,,3
1_1995,PSRC,MK995,995 Laurelhurst to *,,3
1_2001,PSRC,PT001,1 6TH AV-PACIF AV,,3
1_2002,PSRC,PT002,2 19TH-BRIDGEPORT,,3
1_2003,PSRC,PT003,3 LAKEWOOD-TACOMA,,3
1_2010,PSRC,PT010,10 PEARL ST,,3
1_2011,PSRC,PT011,11 POINT DEFIANCE,,3
1_2013,PSRC,PT013,13 N 30TH ST,,3
1_2016,PSRC,PT016,16 UPS-TCC,,3
1_2026,PSRC,PT026,26 M L KING JR WY,,3
1_2028,PSRC,PT028,28 S 12TH ST,,3
1_2041,PSRC,PT041,41 PORTLAND AVE,,3
1_2042,PSRC,PT042,42 MCKINLEY AVE,,3
1_2045,PSRC,PT045,45 YAKIMA,,3
1_2048,PSRC,PT048,48 SHERIDAN-M ST,,3
1_2051,PSRC,PT051,51 TCC-TCOMA MALL,,3
1_2052,PSRC,PT052,52 TCC-TCOMA MALL EB,,3
1_2053,PSRC,PT053,53 UNIVERSITY PLC,,3
1_2054,PSRC,PT054,54 38TH ST,,3
1_2055,PSRC,PT055,55 Tacoma Mall-Park*,,3
1_2056,PSRC,PT056,56 56TH ST,,3
1_2057,PSRC,PT057,57 Tacoma Mall,,3
1_2059,PSRC,PT059,59 MANITOU,,3
1_2060,PSRC,PT060,60  Port of Tacoma,,3
1_2061,PSRC,PT061,61 Northeast Tacoma,,3
1_2100,PSRC,PT100,100  Gig Harbor,,3
1_2102,PSRC,PT102,102 GIG HR-TAC EX,,3
1_2113,PSRC,PT113,113 Key Peninsula,,3
1_2202,PSRC,PT202,202 72ND STREET,,3
1_2204,PSRC,PT204,204 Lakewood-Parkla*,,3
1_2206,PSRC,PT206,206 Pacific Hwy-Til*,,3
1_2207,PSRC,PT207,207 Ft Lewis,,3
1_2212,PSRC,PT212,212 STEILACOOM,,3
1_2214,PSRC,PT214,214 WASHINGTON,,3
1_2220,PSRC,PT220,220 ORCHARD,,3
1_2300,PSRC,PT300,300 SO TACOMA WAY,,3
1_2402,PSRC,PT402,402 MERIDIAN,,3
1_2406,PSRC,PT406,406 BUCKLEY,,3
1_2407,PSRC,PT407,407 Bonney Lake-Pra*,,3
1_2408,PSRC,PT408,408 Sumner to Bonne*,,3
1_2409,PSRC,PT409,409 Puyallup-Sumner,,3
1_2410,PSRC,PT410,410 112TH STREET,,3
1_2413,PSRC,PT413,413 Wildwood,,3
1_2444,PSRC,PT444,444  Parkland-Spana*,,3
1_2490,PSRC,PT490,490 South Hill-Taco*,,3
1_2495,PSRC,PT495,495 SO HILL-PUYLP,,3
1_2496,PSRC,PT496,496 Sumner Sounder *,,3
1_2497,PSRC,PT497,497 Lakeland Hills *,,3
1_2500,PSRC,PT500,500 Federal Way,,3
1_2501,PSRC,PT501,501 Milton-Federal *,,3
1_2601,PSRC,PT601,601 OL-512-TCC-GH,,3
1_2603,PSRC,PT603,603 OLY-SR512-TAC,,3
1_3101,PSRC,CT101,101 MAR PR-AUR VL NB,,3
1_3105,PSRC,CT105,Bothell-MarinerP&R,,3
1_3106,PSRC,CT106,Bothell-MarinerP&R,,3
1_3110,PSRC,CT110,110 LYNWD TC-EDMD WB,,3
1_3112,PSRC,CT112,112 EDM CC-MKLTEO SB,,3
1_3113,PSRC,CT113,113 LynwdTC-Mukilte*,,3
1_3115,PSRC,CT115,115 EDMDS-MILL CK WB,,3
1_3116,PSRC,CT116,116 EDM-ECC-SL FR WB,,3
1_3118,PSRC,CT118,118 AUR VL-ASH WY SB,,3
1_3119,PSRC,CT119,LynwoodTC-Meadowdale,,3
1_3120,PSRC,CT120,120 Bothell-Lynwood*,,3
1_3121,PSRC,CT121,121 LYN TC-UW BTH NB,,3
1_3130,PSRC,CT130,130 LYN TC-AUR VL SB,,3
1_3131,PSRC,CT131,131 EDM CC-AUR VL SB,,3
1_3190,PSRC,CT190,190 MUKLTO-EDM CC S*,,3
1_3200,PSRC,CT200,SmokeyPoint-Lynwood*,,3
1_3201,PSRC,CT201,201 SMK PT-LYN TC SB,,3
1_3202,PSRC,CT202,202 ARLNGTN-EV ST SB,,3
1_3221,PSRC,CT221,Marysville-LakeStev*,,3
1_3222,PSRC,CT222,222 TulalipBay-Mary*,,3
1_3230,PSRC,CT230,230 DRNGTN-SMK PT WB,,3
1_3240,PSRC,CT240,240 STNWD-ARLNGTN WB,,3
1_3270,PSRC,CT270,270 EVRT-GOLD BAR WB,,3
1_3275,PSRC,CT275,275 MONR-EVT STN WB,,3
1_3280,PSRC,CT280,EverettStation-Gran*,,3
1_3401,PSRC,CT401,401 Lynwood-Seattle*,,3
1_3402,PSRC,CT402,402 Lynwood-Seattle ,,3
1_3404,PSRC,CT404,404 Edmonds-Seattle*,,3
1_3406,PSRC,CT406,406 SEAVIEW-SCBD SB*,,3
1_3408,PSRC,CT408,408 MTLK TER-SCBD S*,,3
1_3410,PSRC,CT410,410 MARNR PR-SCBD S*,,3
1_3411,PSRC,CT411,411 S EVERTT-SCBD S*,,3
1_3412,PSRC,CT412,412 SLVR FRS-SCBD S*,,3
1_3413,PSRC,CT413,413 ASH W PR-SCBD S*,,3
1_3414,PSRC,CT414,McCollumP&R-Seattle,,3
1_3415,PSRC,CT415, 415 LincolnWay-Sea*,,3
1_3416,PSRC,CT416,416 Edmonds-Seattle*,,3
1_3417,PSRC,CT417,417 MKLTEO-SEACBD S*,,3
1_3421,PSRC,CT421,421 Marysville-Seat*,,3
1_3422,PSRC,CT422,422 STAN-MVL-SCBD S*,,3
1_3424,PSRC,CT424,424 SNOH-MNR-SCBD S*,,3
1_3425,PSRC,CT425,LakeStevens-Seattle,,3
1_3435,PSRC,CT435,435 MaysPond-Seattle,,3
1_3441,PSRC,CT441,441 EdmDsP&R-Ovrlak*,,3
1_3477,PSRC,CT477,477 Brier-Seattle SB,,3
1_3701,PSRC,CT701,701 Swift-Aurora-Ev*,,3
1_3812,PSRC,CT812,812 MarinerP&R-McCo*,,3
1_3821,PSRC,CT821,821 Marysville-UDis*,,3
1_3851,PSRC,CT851,851 EdmdsP&R-Udist *,,3
1_3855,PSRC,CT855,855 LYNWOOD TC-UW SB,,3
1_3860,PSRC,CT860,860 MARINER PR-UW SB,,3
1_3870,PSRC,CT870,870 EDMONDS-UW SB,,3
1_3871,PSRC,CT871,871 EDM-MTLKTR-UW SB,,3
1_3880,PSRC,CT880,880 MUKILTEO-UW SB,,3
1_4005,PSRC,KT005,5 CEDAR HEIGHTS,,3
1_4008,PSRC,KT008,8 TREMONT NB,,3
1_4009,PSRC,KT009,19 SouthPark,,3
1_4011,PSRC,KT011,11 CROSSTOWN LTD,,3
1_4012,PSRC,KT012,12 SILVERDLE WEST,,3
1_4013,PSRC,KT013,13 PARKWOOD E LTD,,3
1_4015,PSRC,KT015,15 MCWLIAMS-SHTTL,,3
1_4017,PSRC,KT017,17 KITSP MALL LTD,,3
1_4019,PSRC,KT019,19 CRSSROADS SHTL,,3
1_4020,PSRC,KT020,20 NAVY YARD CITY,,3
1_4021,PSRC,KT021,21 PERRY AVENUE,,3
1_4022,PSRC,KT022,22 GATEWAY EXPRSS,,3
1_4023,PSRC,KT023,23 KARIOTS/TRCYTN,,3
1_4024,PSRC,KT024,24 OLYMPIC COLLEG,,3
1_4025,PSRC,KT025,25 EAST PARK,,3
1_4026,PSRC,KT026,26 WEST PARK,,3
1_4029,PSRC,KT029,29 TRENTON AVENUE,,3
1_4032,PSRC,KT032,32Pouls-Silverdale,,3
1_4033,PSRC,KT033,33 SILVRDL-BNBRDG,,3
1_4034,PSRC,KT034,34 BANGOR SHUTTLE,,3
1_4035,PSRC,KT035,35 OldTownShuttle,,3
1_4036,PSRC,KT036,36 RIDGETOP SHTTL,,3
1_4037,PSRC,KT037,37 FAIRGRNDS SHTL,,3
1_4041,PSRC,KT041,41 LINCOLN DRIVE,,3
1_4081,PSRC,KT081,81 ANNAPOLIS CMTR SB,,3
1_4085,PSRC,KT085,85 MULLENIX EXPRS,,3
1_4086,PSRC,KT086,86 SOUTHWRTH SHTL,,3
1_4090,PSRC,KT090,90 POULS TC-BAINB,,3
1_4091,PSRC,KT091,91 INDIANOLA-BAIN,,3
1_4092,PSRC,KT092,92 POUL-SUQ-KNGST,,3
1_4093,PSRC,KT093,93 MANZANITA,,3
1_4094,PSRC,KT094,94 AGATE POINT,,3
1_4095,PSRC,KT095,95 BATTLE POINT,,3
1_4096,PSRC,KT096,96 SUNRISE,,3
1_4097,PSRC,KT097,97 CRYSTAL SPRNGS,,3
1_4098,PSRC,KT098,98 FORT WARD,,3
1_4099,PSRC,KT099,99 BILL POINT,,3
1_4106,PSRC,KT106,106 ARROW POINT,,3
1_4201,PSRC,KTWD01,WD01 BURLEY BUS NB,,3
1_4202,PSRC,KTWD02,WD02 GLENWOOD NB,,3
1_4203,PSRC,KTWD03,WD03 HORSESHOE LK NB,,3
1_4204,PSRC,KTWD04,WD04 LONG LAKE DY NB,,3
1_4205,PSRC,KTWD05,WD05 MANCHSTR BCH NB,,3
1_4206,PSRC,KTWD06,WD06 MILE HILL EX NB,,3
1_4207,PSRC,KTWD07,WD07 SALMONBERRY NB,,3
1_4208,PSRC,KTWD08,WD08 PARKWOOD NB,,3
1_4209,PSRC,KTWD09,WD09 PHLIP/BIELMR NB,,3
1_4210,PSRC,KTWD10,WD10 PONDEROSA NB,,3
1_4211,PSRC,KTWD11,WD11 SIDNEY WOODS NB,,3
1_4212,PSRC,KTWD12,WD12 SOUTHWORTH NB,,3
1_4213,PSRC,KTWD13,WD13 SUNNYSLOPE NB,,3
1_4214,PSRC,KTWD14,WD14 CAMP UNION EB,,3
1_4215,PSRC,KTWD15,WD15 CENT VL LOOP SB,,3
1_4216,PSRC,KTWD16,WD16 FRGRND OVRLD SB,,3
1_4217,PSRC,KTWD17,WD17 FOSTERWOOD SB,,3
1_4218,PSRC,KTWD18,WD18 ILLAHEE SB,,3
1_4219,PSRC,KTWD19,WD19 PRKWOOD EAST SB,,3
1_4220,PSRC,KTWD20,WD20 RIDGE RUNNER SB,,3
1_4221,PSRC,KTWD21,WD21 SEABECK SB,,3
1_4222,PSRC,KTWD22,WD22 WOODMERE SB,,3
1_4223,PSRC,KTWD23,WD23 KINGSTON SB,,3
1_4224,PSRC,KTWD24,WD24 PORT GAMBLE SB,,3
1_4225,PSRC,KTWD25,WD25 SUQUAMISH SB,,3
1_4226,PSRC,KTWD26,WD26 WINSLOW SB,,3
1_4301,PSRC,KTPUR,PURDY CONNECTION SB,,3
1_4501,PSRC,KTFF1,FT FER BREM-PT OR,,4
1_4502,PSRC,KTFF2,FT FER BREM-ANNAP,,4
1_5001,PSRC,WFEDK,WSF EDMNDS-KNGSTN EB,,4
1_5002,PSRC,WFFAV,WSF FAUNTLR-VASHN EB,,4
1_5003,PSRC,WFFSW,WSF FAUNTLR-SWRTH WB,,4
1_5004,PSRC,WFPDT,WSF PT DEFI-TAHLQ SB,,4
1_5005,PSRC,WFSBI,WSF SEA-BAINB ISL EB,,4
1_5006,PSRC,WFSBR,WSF SEA-BREMERTON EB,,4
1_5007,PSRC,WFSVP,WSF SEA-VASHON PO NB,,4
